catalog_position,title,author,year_published,genre,section,total_copies,times_borrowed,last_borrowed_date,rating,ratings_count,price,language,page_count,dimensions_width,dimensions_thickness,dimensions_height,catalog_shelf,catalog_row,catalog_row_number
A2-B2-0007,Comtesse de Charny,Alexandre Dumas,1800,Historical Fiction,Fiction,5,5,3/27/2024,4.34,3,,en,856,5.68,0.24,7.14,A2,B2,7
A2-B2-0008,The Voyages of Doctor Dolittle,Hugh Lofting,1922,Fantasy,Children,5,7,1/19/2025,4.51,4,8.09,en,398,5.31,0.76,7.63,A2,B2,8
A2-B2-0009,Idle Thoughts of an Idle Fellow,Jerome Klapka Jerome,1880,Comedy,Non-Fiction,6,3,12/30/2024,4.11,3,0.99,en,232,5.64,1.08,8.29,A2,B2,9
A2-B2-0010,Tanglewood Tales,Nathaniel Hawthorne,1853,Fantasy,Children,5,4,12/22/2024,4.57,3,8.99,en,256,6,0.61,9,A2,B2,10
A2-B2-0011,McTeague,Frank Norris,1899,Crime/Thriller,Fiction,5,5,12/15/2024,3.87,3,29.99,en,324,4.23,0.95,6.76,A2,B2,11
A2-B2-0012,The Return of Tarzan,Edgar Rice Burroughs,1915,Adventure,Fiction,4,6,8/7/2024,4.36,4,4.95,en,252,5.88,1.07,9.9,A2,B2,12
A2-B2-0014,Peril at End House,Agatha Christie,1932,Crime/Thriller,Fiction,5,35,2/16/2025,4.52,26,5.56,en,246,6.79,1.14,7.82,A2,B2,14
A2-B2-0015,En attendant Godot,Samuel Beckett,1952,Drama,Fiction,4,5,7/21/2024,4.52,3,13.63,en,370,4.61,0.47,7.09,A2,B2,15
A2-B2-0016,Publications,Chaucer Society,1868,Other,Science,5,1,12/18/2024,,,20.99,en,1040,5.97,3.4,8.84,A2,B2,16
A2-B2-0017,Poems,William Butler Yeats,1895,Poetry,Fiction,5,5,9/10/2024,4.62,3,464,en,546,5.5,1.4,8.44,A2,B2,17
A2-B2-0018,Anatomy,Henry Gray F.R.S.,1858,Medicine & Health,Reference,5,3,11/29/2024,4.86,2,39.99,en,962,6,1.25,9.25,A2,B2,18
A2-B2-0019,Book of common prayer,Church of England,1537,Religion & Spirituality,Humanities,8,5,7/7/2024,4.79,4,,en,106,3.62,0.87,5.75,A2,B2,19
A2-B2-0020,The God Delusion,Richard Dawkins,2006,Religion & Spirituality,Non-Fiction,6,163,5/25/2024,4.52,136,0.99,en,35,5.73,0.21,7.09,A2,B2,20
A2-B2-0021,The Prince,Niccolò Machiavelli,1515,History,Humanities,8,12,4/22/2024,4.63,12,7.99,en,128,6,0.29,9,A2,B2,21
A2-B2-0022,English grammar,Lindley Murray,1795,Dictionaries & Encyclopedias,Reference,5,5,9/5/2024,4.85,4,34.57,en,80,5.27,0.37,9.2,A2,B2,22
A2-B2-0023,When Breath Becomes Air,Paul Kalanithi,2016,,,3,775,5/7/2024,4.77,1078,14.85,en,249,5.19,0.91,7.79,A2,B2,23
A2-B2-0024,"Le vicomte de Bragelonne, ou, dix ans plus tard",Alexandre Dumas,1848,History,Fiction,5,4,4/3/2024,4.51,3,,en,732,5.17,2.57,6.56,A2,B2,24
A2-B2-0025,Il nome della rosa,Umberto Eco,1980,Crime/Thriller,Fiction,6,2,4/29/2024,,,,en,522,6.42,1.74,6.2,A2,B2,25
A2-B2-0026,To Kill a Mockingbird,Harper Lee,1960,Drama,Fiction,5,848,5/28/2024,4.78,1391,9.71,en,292,7.9,0.9,5.3,A2,B2,26
A2-B2-0027,Outliers: The Story of Success,Malcolm Gladwell,2008,Economics & Business,Non-Fiction,7,588,8/11/2024,4.63,379,11.6,en,304,5.45,1.15,8.25,A2,B2,27
A2-B2-0028,"Lavengro.   The Scholar, The Gypsy, The Priest",George Henry Borrow,1851,Historical Fiction,Fiction,5,6,7/6/2024,4.17,4,5.69,en,420,6,1.36,8.14,A2,B2,28
A2-B2-0029,All for Love,John Dryden,1678,Drama,Humanities,5,1,8/16/2024,4.58,1,4.95,en,188,6,0.24,9,A2,B2,29
A2-B2-0030,King Henry IV. Part 2,William Shakespeare,1600,Drama,Fiction,6,3,11/28/2024,4.84,2,13.95,en,304,5.1,1.2,7.8,A2,B2,30
A2-B2-0031,The Last Battle,C.S. Lewis,1956,Fantasy,Children,4,34,9/15/2024,4.73,24,7,en,172,4.92,0.83,9.7,A2,B2,31
A2-B2-0032,The works of Robert Burns,Robert Burns,1800,Biography & Autobiography,Humanities,5,1,1/25/2025,4.27,1,1.99,en,338,5.41,1.18,7.56,A2,B2,32
A2-B2-0033,Lao Fuzi,Ze Wang,1998,Comedy,Fiction,5,1,6/20/2024,,,,en,246,5.58,1.01,7.78,A2,B2,33
A2-B2-0034,Ontario Sessional Papers,Ontario. Legislative Assembly.,1893,,,7,1,6/5/2024,,,27.95,en,744,9,0.39,6,A2,B2,34
A2-B2-0035,Dom Casmurro,Machado de Assis,1900,Drama,Fiction,4,4,1/20/2025,4.64,3,13.5,en,154,5.5,0.8,8.3,A2,B2,35
A2-B2-0036,The Art of War,Sun Tzu,1900,History,Non-Fiction,9,25,12/28/2024,4.76,19,15.29,en,100,5.71,0.67,8.7,A2,B2,36
A2-B2-0037,The education of Henry Adams,Henry Adams,1777,Biography & Autobiography,Non-Fiction,6,1,1/26/2025,4.26,1,14.99,en,553,5.19,1.27,8,A2,B2,37
A2-B2-0038,Equality,Edward Bellamy,1897,,,5,7,2/8/2025,5,5,11.94,en,156,6,0.97,9,A2,B2,38
A2-B2-0039,The Signal-man,Charles Dickens,1972,Horror,Fiction,6,1,7/3/2024,,,12.45,en,19,5.38,0.28,7.35,A2,B2,39
A2-B2-0040,The Sittaford Mystery,Agatha Christie,1931,Crime/Thriller,Fiction,5,14,5/30/2024,4.41,10,0.99,en,200,6.75,0.9,8.3,A2,B2,40
A2-B2-0041,It Can't Happen Here,Sinclair Lewis,1935,Dystopian,Fiction,5,28,7/4/2024,4.42,20,10.22,sr,372,4.25,0.87,7.5,A2,B2,41
A2-B2-0042,"Burn, witch, burn!",A. Merritt,1933,Fantasy,Fiction,5,8,8/14/2024,3.95,8,0.99,en,129,5.18,0.75,8.12,A2,B2,42
A2-B2-0043,A silent witness,R. Austin Freeman,1929,Crime/Thriller,Fiction,5,2,12/12/2024,4.24,1,0.99,en,316,5.87,1.1,9.32,A2,B2,43
A2-B2-0044,La tía Julia y el escribidor,Mario Vargas Llosa,1977,Romance,Fiction,5,9,10/3/2024,4.76,9,24.94,es,266,5.83,1.18,8.46,A2,B2,44
A2-B2-0045,Dead Men's Money,Joseph Smith Fletcher,1920,Crime/Thriller,Fiction,6,2,6/13/2024,4.12,1,12.99,en,264,6.21,1.14,8.32,A2,B2,45
A2-B2-0046,Medico-Chirurgical Transactions,Royal Medical and Chirurgical Society of London,1811,,,5,2,10/10/2024,,,36.95,en,786,6.29,2.68,6.2,A2,B2,46
A2-B2-0047,Faust,Johann Wolfgang von Goethe,1800,Drama,Humanities,7,10,4/16/2024,4.42,10,11.95,en,150,5.21,1.06,7.96,A2,B2,47
A2-B2-0048,Lodore,Mary Shelley,1835,Romance,Fiction,5,4,6/21/2024,4.78,4,12.99,en,390,5.3,1.2,8.2,A2,B2,48
A2-B2-0049,La ciudad y los perros,Mario Vargas Llosa,1963,Drama,Fiction,4,2,10/10/2024,4.69,1,0.99,es,368,6.54,1.5,7.63,A2,B2,49
A2-B2-0050,On the origin of species by means of natural selection,Charles Darwin,1859,Science,,6,6,4/28/2024,5,5,12.99,en,520,5.08,0.97,7.74,A2,B2,50
A2-B2-0052,Menon,Platon,1869,Philosophy,Humanities,5,1,11/16/2024,,,,en,490,4.13,0.27,5.83,A2,B2,52
A2-B2-0053,Ann Veronica,H. G. Wells,1909,Novels,Fiction,5,1,5/27/2024,4.04,1,4.99,en,363,6.48,1.39,8.39,A2,B2,53
A2-B2-0054,Omoo,Herman Melville,1847,Adventure,Fiction,4,2,2/9/2025,4.15,1,10.95,en,556,5.43,0.98,8.5,A2,B2,54
A2-B2-0055,The Devil Doctor,Sax Rohmer,1916,Crime/Thriller,Fiction,5,4,6/18/2024,4.24,2,3.99,en,308,6.94,1.32,6.88,A2,B2,55
A2-B2-0056,La Peste,Albert Camus,1942,Drama,Fiction,6,14,5/6/2024,4.56,10,15.36,en,324,6.79,1.29,8.59,A2,B2,56
A2-B2-0057,The Magic City,Edith Nesbit,1910,Fantasy,Children,7,6,9/23/2024,4.58,4,7.5,en,194,6.3,0.82,6.72,A2,B2,57
A2-B2-0058,Rinkitink in Oz,L. Frank Baum,1916,Fantasy,Children,6,4,10/14/2024,4.36,4,0.99,en,144,6.46,0.66,7.87,A2,B2,58
A2-B2-0059,Jacob's Room,Virginia Woolf,1922,Drama,Fiction,7,3,3/30/2024,3.96,3,13,en,290,5.09,0.54,7.79,A2,B2,59
A2-B2-0060,After the Funeral,Agatha Christie,1953,Crime/Thriller,Fiction,5,28,11/20/2024,4.54,20,4.99,en,260,6.5,1.09,7.21,A2,B2,60
A2-B2-0061,The Tragical History of the Life and Death of Doctor Faustus,Christopher Marlowe,1609,Drama,Fiction,4,1,7/13/2024,3.96,1,0.59,en,104,6,0.25,9,A2,B2,61
A2-B2-0062,The Battle of Life,Charles Dickens,1846,Drama,Fiction,7,1,6/19/2024,,,4.99,en,202,5.89,0.93,8.37,A2,B2,62
A2-B2-0063,[Publications]. Original series,Early English Text Society,1864,,,4,1,2/5/2025,,,9.99,en,110,5.58,0.5,7.26,A2,B2,63
A2-B2-0064,Amelia,Henry Fielding,1751,Romance,Fiction,5,1,4/13/2024,,,14.95,en,193,7,1,5,A2,B2,64
A2-B2-0065,The Tale of Benjamin Bunny,Beatrix Potter,1904,Fantasy,Children,5,2,8/5/2024,4.86,2,8.09,en,32,4.38,0.41,5.69,A2,B2,65
A2-B2-0066,Tales of Mother Goose,Charles Perrault,1675,Fantasy,Children,5,4,4/8/2024,4.52,2,,en,418,7.68,0.71,10.24,A2,B2,66
A2-B2-0067,Winnie-the-Pooh,A. A. Milne,1925,Children's Fiction,Children,5,29,1/14/2025,4.94,20,10.79,en,160,5.56,0.72,7.81,A2,B2,67
A2-B2-0068,Sharp Objects,Gillian Flynn,2006,Crime/Thriller,Fiction,7,1137,6/25/2024,4.24,668,8.68,en,254,5.17,0.61,7.96,A2,B2,68
A2-B2-0069,A dictionary of the English language,Samuel Johnson,1747,Dictionaries & Encyclopedias,Reference,5,1,2/18/2025,4.54,1,24,en,596,5.12,1.21,7.79,A2,B2,69
A2-B2-0070,The cruise of the Cachalot around the world after sperm whales,Frank Thomas Bullen,1897,Adventure,Fiction,5,6,8/23/2024,4.51,4,0.99,en,361,5.4,1.48,8.99,A2,B2,70
A2-B2-0071,The Da Vinci Code,Dan Brown,2003,Crime/Thriller,Fiction,5,195,10/27/2024,4.68,195,11.06,en,681,6.72,2.15,7.32,A2,B2,71
A2-B2-0072,L'homme révolté,Albert Camus,1951,Philosophy,Humanities,4,2,9/3/2024,4.68,2,19.5,fr,388,4.25,0.75,7,A2,B2,72
A2-B2-0073,The Railway Children,Edith Nesbit,1900,Adventure,Children,9,2,9/1/2024,4.87,1,12.93,en,239,5.2,1.1,7.1,A2,B2,73
A2-B2-0074,The Client,John Grisham,1993,Crime/Thriller,Fiction,5,119,11/5/2024,4.68,80,0.99,en,396,5.71,1.33,7.81,A2,B2,74
A2-B2-0075,Hickory Dickory Death,Agatha Christie,1955,Crime/Thriller,Fiction,4,18,3/22/2024,4.45,12,0.99,en,262,6.21,1.04,7.39,A2,B2,75
A2-B2-0076,By the Pricking of My Thumbs,Agatha Christie,1968,Crime/Thriller,Fiction,5,11,11/9/2024,4.43,7,13.19,en,244,6.84,1.04,8.42,A2,B2,76
A2-B2-0077,Again Sanders,Edgar Wallace,1920,Novels,Fiction,5,10,4/12/2024,3.69,10,5.99,en,182,7,0.79,7.07,A2,B2,77
A2-B2-0078,Love for Love,William Congreve,1695,Drama,Fiction,5,2,4/12/2024,,,14.99,en,98,5.97,0.69,7.03,A2,B2,78
A2-B2-0079,Moran of the Lady Letty,Frank Norris,1898,Adventure,Fiction,5,7,9/4/2024,4.73,4,14.99,en,312,5.16,1.31,7.88,A2,B2,79
A2-B2-0080,Veinte poemas de amor y una canciÃ³n desesperada,Pablo Neruda,1924,Poetry,Fiction,5,11,10/5/2024,4.75,9,5.33,es,148,6,0.13,9,A2,B2,80
A2-B2-0081,The Boy in the Striped Pyjamas,John Boyne,2006,Historical Fiction,Young Adult (YA),5,220,5/5/2024,4.67,176,8.83,en,216,5.5,0.51,8.25,A2,B2,81
A2-B2-0082,Sky Island,L. Frank Baum,1912,Fantasy,Children,6,5,10/12/2024,4.82,4,2.49,en,36,6,0.78,9,A2,B2,82
A2-B2-0083,The English Tongue,Thomas Dilworth,1740,Dictionaries & Encyclopedias,Reference,6,2,6/22/2024,,,,en,802,7.44,0.38,9.69,A2,B2,83
A2-B3-0001,"With Wolfe in Canada; or, Winning of a continent",G. A. Henty,1800,Historical Fiction,Children's,4,1,9/17/2024,4.26,1,14.99,en,464,8.5,0.24,11,A2,B3,1
A2-B3-0002,Silas Marner,George Eliot,1860,Drama,Fiction,7,13,1/11/2025,4.51,10,8.25,en,102,5.81,0.7,7.56,A2,B3,2
A2-B3-0003,"Waverley; or, 'Tis sixty years since ...",Sir Walter Scott,1800,Historical Fiction,Fiction,7,2,6/24/2024,5,1,11.95,en,496,6.05,0.13,8.43,A2,B3,3
A2-B3-0004,Essay on criticism,Alexander Pope,1711,Poetry,Humanities,4,9,12/31/2024,4.15,9,0.99,en,57,5.2,0.36,8.3,A2,B3,4
A2-B3-0005,English Fairy Tales,Joseph Jacobs,1890,Fantasy,Children,4,2,12/2/2024,4.31,1,0.99,en,296,5.74,1.12,8.57,A2,B3,5
A2-B3-0006,C. Iulii Caesaris Commentarii de bello gallico,Gaius Julius Caesar,1570,History,Humanities,6,5,2/19/2025,4.69,4,16,la,338,6,0.19,9,A2,B3,6
A2-B3-0007,The Blue Lagoon,H. De Vere Stacpoole,1900,Romance,Fiction,4,1,6/19/2024,4.43,1,12.99,en,200,5.1,0.82,7.61,A2,B3,7
A2-B3-0008,The Affair at the Semiramis Hotel,A. E. W. Mason,1917,,,6,4,7/27/2024,4.07,4,9.99,en,94,5.44,0.47,8.95,A2,B3,8
A2-B3-0009,Evgenii Onegin,Aleksandr Sergeyevich Pushkin,1833,Poetry,Fiction,5,1,8/19/2024,,,14.99,en,242,4.93,1.07,7.78,A2,B3,9
A2-B3-0010,The warlord of Mars #3,Edgar Rice Burroughs,1919,Science Fiction,Fiction,6,2,6/27/2024,,,,en,305,6,0.75,9,A2,B3,10
A2-B3-0011,PantaleoÌn y las visitadoras,Mario Vargas Llosa,1973,Comedy,Fiction,5,8,6/1/2024,4.48,8,0.99,es,332,6.12,1.38,8.61,A2,B3,11
A2-B3-0012,The Well at the World's End,William Morris,1896,Fantasy,Fiction,5,3,9/10/2024,5,2,15.84,en,453,5.53,1.56,8.48,A2,B3,12
A2-B3-0013,The history of the Peleponnesian war,Thucydides,1545,History,Non-Fiction,5,3,3/31/2024,4.78,2,16.77,en,618,9.02,0.8,5.98,A2,B3,13
A2-B3-0014,The Man in the Brown Suit,Agatha Christie,1924,Crime/Thriller,Fiction,5,22,11/19/2024,4.38,17,9.99,en,240,5.57,1.12,8.69,A2,B3,14
A2-B3-0015,The Blue Poetry Book,Andrew Lang,1891,Poetry,Children,5,6,4/27/2024,2.04,5,6.29,en,818,5.22,2.83,6.81,A2,B3,15
A2-B3-0016,Nostromo,Joseph Conrad,1900,Adventure,Fiction,5,3,10/15/2024,4.15,2,0.99,en,592,6.4,2.06,7.07,A2,B3,16
A2-B3-0017,The Chronicles Of Clovis,Saki,1911,Satire,Fiction,5,3,9/24/2024,5,2,9.95,en,268,5.96,0.9,6.76,A2,B3,17
A2-B3-0018,Huntingtower,John Buchan,1910,Adventure,Fiction,6,7,6/14/2024,4.69,7,,en,206,6.23,0.85,7.88,A2,B3,18
A2-B3-0019,Lilith,George MacDonald,1895,Fantasy,Fiction,7,5,9/17/2024,4.18,3,12.99,en,270,6,0.44,9,A2,B3,19
A2-B3-0020,The Mill on the Floss,George Eliot,1800,Drama,Fiction,5,18,6/11/2024,4.35,13,395,en,376,6.15,1.3,8.82,A2,B3,20
A2-B3-0021,Odes,Horace,1635,Poetry,Humanities,5,1,1/1/2025,4.55,1,14.95,en,484,7.76,0.57,5.06,A2,B3,21
A2-B3-0022,The New Machiavelli,H. G. Wells,1900,Science Fiction,Fiction,5,1,7/6/2024,,,11.99,en,170,6.06,0.77,6.97,A2,B3,22
A2-B3-0023,Dunciad,Alexander Pope,1727,Satire,Fiction,5,1,10/21/2024,4.62,1,19.98,en,502,5.64,1.77,7.57,A2,B3,23
A2-B3-0024,Artemis Fowl,Eoin Colfer,2999,Fantasy,Young Adult (YA),5,13,7/27/2024,4.96,11,28.96,en,292,6.05,1.14,8.24,A2,B3,24
A2-B3-0025,Summer,Edith Wharton,1917,Romance,Fiction,4,3,8/19/2024,4.22,2,12.04,en,147,7.71,0.25,5.12,A2,B3,25
A2-B3-0026,K,Mary Roberts Rinehart,1915,Romance,Fiction,5,2,1/27/2025,5,1,10.99,en,458,6.3,1.48,9.9,A2,B3,26
A2-B3-0027,The Pursuit of the House-Boat,John Kendrick Bangs,1897,Crime/Thriller,Fiction,5,4,7/19/2024,3.71,4,12.99,en,82,7,0.42,8.32,A2,B3,27
A2-B3-0028,Les Quarante-cinq,Alexandre Dumas,1800,Historical Fiction,Fiction,5,5,6/16/2024,4.29,4,15.99,fr,260,5.74,0.94,9.9,A2,B3,28
A2-B3-0029,Manifest der Kommunistischen Partei,Karl Marx,1848,History,Non-Fiction,7,1,9/16/2024,4.57,1,,de,59,5,0.2,8,A2,B3,29
A2-B3-0030,Headlong Hall,Thomas Love Peacock,1816,Comedy,Fiction,5,7,12/20/2024,2.58,5,,en,188,6.98,0.95,7.36,A2,B3,30
A2-B3-0031,Mission to Mars, Buzz Aldrin,2013,Science Fiction,Science,1,3,6/19/2024,4.33,3,0.99,en,307,5.59,1.08,9.07,A2,B3,31
A2-B3-0032,The Man Who Knew Too Much,Gilbert Keith Chesterton,1922,Crime/Thriller,Fiction,7,5,2/11/2025,2.95,3,,en,124,5.98,0.69,6.6,A2,B3,32
A2-B3-0033,King Richard III,William Shakespeare,1597,Drama,Humanities,7,1,8/27/2024,,,13.95,en,244,5.5,1,8.38,A2,B3,33
A2-B3-0034,Capitaine Fracasse,Théophile Gautier,1860,History,Fiction,5,3,11/11/2024,4.46,2,,fr,392,6.75,1.31,7.71,A2,B3,34
A2-B3-0035,Poems,Geoffrey Chaucer,1800,Poetry,Humanities,4,1,7/7/2024,5,1,0.49,en,546,5.6,0.5,9.3,A2,B3,35
A2-B3-0036,Coriolanus,William Shakespeare,1734,Drama,Fiction,7,4,10/5/2024,4.53,4,175,en,320,5.5,0.8,8.38,A2,B3,36
A2-B3-0037,East of Eden,John Steinbeck,1952,Drama,Fiction,5,103,7/30/2024,4.75,72,10.4,en,322,6.02,1.3,8.16,A2,B3,37
A2-B3-0038,The Bayonet,United States Army,1942,,,5,2,1/2/2025,4.74,2,25,en,259,5.94,1.13,8.3,A2,B3,38
A2-B3-0039,The Curse of Capistrano,Johnston McCulley,1924,Adventure,Fiction,6,1,4/1/2024,4.46,1,7.24,en,202,5.5,1,7.79,A2,B3,39
A2-B3-0040,The flight of the shadow,George MacDonald,1891,Drama,Fiction,5,3,10/21/2024,5,2,15.95,en,173,4.92,0.89,7.71,A2,B3,40
A2-B3-0041,The Eye of Osiris,R. Austin Freeman,1911,Crime/Thriller,Fiction,5,5,1/18/2025,4.15,3,5.99,en,246,5.86,0.92,7.48,A2,B3,41
A2-B3-0042,Annual report - vital statistics of Massachusetts. (title varies),Massachusetts. Dept. of Public Health.,,Medicine & Health,Non-Fiction,6,1,9/9/2024,,,21.95,en,382,6.14,0.25,9.21,A2,B3,42
A2-B3-0043,"Under the Greenwood Tree or, The Mellstock quire",Thomas Hardy,1872,Romance,Fiction,7,2,6/28/2024,3.93,1,2.8,en,318,6.04,1.26,7.53,A2,B3,43
A2-B3-0044,Novels (The Call of the Wild / White Fang),Jack London,1962,Adventure,Fiction,4,3,12/15/2024,4.56,3,33,en,104,5.1,1.3,8.1,A2,B3,44
A2-B3-0045,Pickwick Papers,Charles Dickens,1800,Comedy,Fiction,7,17,4/12/2024,4.38,12,13,en,653,5.05,1.42,7.74,A2,B3,45
A2-B3-0046,L'Évolution créatrice,Henri Bergson,1907,Philosophy,Non-Fiction,5,9,9/11/2024,4.55,6,,fr,354,6.64,1.2,8.33,A2,B3,46
A2-B3-0047,The settler and the savage,Robert Michael Ballantyne,1877,Adventure,Fiction,5,2,12/18/2024,3.97,2,10.99,en,230,5.64,0.91,8.33,A2,B3,47
A2-B3-0048,"Laws, etc",New Jersey.,1732,,,4,,11/4/2024,3.88,6,,,,6.52,,9.9,A2,B3,48
A2-B3-0049,What every woman knows,J. M. Barrie,1918,Drama,Fiction,4,6,9/26/2024,4.33,4,14.95,en,90,7.83,1.02,5.11,A2,B3,49
A2-B3-0050,How the Steel Was Tempered,Nikolay Ostrovsky,1936,History,Fiction,4,1,5/23/2024,,,12.99,ru,136,6.74,0.78,8.72,A2,B3,50
A2-B3-0051,I promessi sposi,Alessandro Manzoni,1800,Romance,Fiction,5,3,8/30/2024,4.68,3,20.25,it,358,7.6,1.4,5,A2,B3,51
A2-B3-0052,"Works [37 plays, 5 poems, sonnets]",William Shakespeare,1794,Drama,Fiction,4,8,8/30/2024,4.64,6,0.99,sr,80,6.2,0.35,6.79,A2,B3,52
A2-B3-0053,The Coral Island,Robert Michael Ballantyne,1858,Adventure,Children,7,6,3/11/2024,4.26,5,0.99,en,184,6.11,0.65,7.95,A2,B3,53
A2-B3-0054,The Lives of the Twelve Caesars,Suetonius,1470,Biography & Autobiography,History,5,2,9/4/2024,,,,en,610,5.09,0.81,7.5,A2,B3,54
A2-B3-0055,The Red Thumb Mark,R. Austin Freeman,1907,Crime/Thriller,Fiction,5,1,4/14/2024,,,4.99,en,188,6.63,0.9,7.74,A2,B3,55
A2-B3-0056,Sophocles,Sophocles,1832,Drama,Humanities,4,8,12/16/2024,4.37,6,11.95,en,249,6.12,0.93,6.2,A2,B3,56
A2-B3-0057,The Story of the Amulet,Edith Nesbit,1905,Fantasy,Children,8,5,12/26/2024,4.58,3,22.48,en,396,6.25,1.37,9.09,A2,B3,57
A2-B3-0058,The great impersonation,Edward Phillips Oppenheim,1920,Crime/Thriller,Fiction,6,2,3/13/2024,4.27,1,1.99,en,346,6,0.29,9,A2,B3,58
A2-B3-0059,"Maria; or, The Wrongs of Woman",Mary Wollstonecraft,1799,Drama,Fiction,6,6,4/3/2024,4.38,5,0.99,en,146,5.5,1.2,8.2,A2,B3,59
A2-B3-0060,The Elements of Style,William Strunk,1920,Dictionaries & Encyclopedias,Reference,6,82,12/4/2024,4.72,51,7.99,en,60,7,0.3,4.5,A2,B3,60
A2-B3-0061,A tale of a tub,Jonathan Swift,1704,Satire,Fiction,5,2,4/15/2024,4.55,2,10.95,en,276,7.6,0.6,5,A2,B3,61
A2-B3-0062,The Last of the Mohicans,James Fenimore Cooper,1826,Adventure,Fiction,8,24,6/18/2024,4.34,17,5.95,en,490,5.3,1.62,6.95,A2,B3,62
A2-B3-0064,La terre,Émile Zola,1887,Novels,Fiction,5,9,6/10/2024,4.35,7,,en,234,4.93,0.81,6.2,A2,B3,64
A2-B3-0065,The Blue Fairy Book,Andrew Lang,1889,Fantasy,Fiction,7,1,1/8/2025,4.53,1,17.52,en,660,5.4,1.1,8.3,A2,B3,65
A2-B3-0066,Dictionary of National Biography,George Murray Smith,1885,Biography & Autobiography,Reference,5,1,6/26/2024,,,,en,476,6.38,1.53,6.91,A2,B3,66
A2-B3-0067,The Tenant of Wildfell Hall,Anne Brontë,1847,Drama,Fiction,7,6,3/11/2024,4.48,4,12.49,en,577,7.8,1.02,5.2,A2,B3,67
A2-B3-0068,The Story of Philosophy,Will Durant,1926,History,Humanities,5,5,9/11/2024,4.56,4,17.67,en,736,5.51,2.61,6.88,A2,B3,68
A2-B3-0069,Pygmalion,George Bernard Shaw,1912,Drama,Fiction,5,1,5/17/2024,,,,en,109,6.14,0.56,7.43,A2,B3,69
A2-B3-0070,The Interstellar Age, Jim Bell,2015,Science,Science,,2,11/14/2024,,,,en,1047,5.1,3.54,6.43,A2,B3,70
A2-B3-0071,Carmen,Georges Bizet,1800,Music,Humanities,4,2,10/7/2024,3.73,2,25.82,en,348,5.43,0.44,8.5,A2,B3,71
A2-B3-0072,Amerika,Franz Kafka,1927,Classics,Fiction,5,5,6/25/2024,4.31,3,17,sr,212,5.18,0.71,7.99,A2,B3,72
A2-B3-0073,Steal Like an Artist: 10 Things Nobody Told You About Being Creative,Austin Kleon,2012,Self-Help,Non-Fiction,3,1,1/31/2025,,,,en,160,6.02,0.56,5.9,A2,B3,73
A2-B3-0074,The Atlantic,Editors of The Atlantic,1857,,,5,1,2/1/2025,,,119.99,en,494,4.92,1.69,9.17,A2,B3,74
A2-B3-0075,Master Humphrey's Clock,Charles Dickens,1840,Historical Fiction,Young Adult (YA),4,3,11/6/2024,4.29,2,17.48,en,462,4.88,1.36,7.56,A2,B3,75
A2-B4-0001,Black Beauty,Anna Sewell,1877,Drama,Children,5,3,11/5/2024,4.87,2,11.66,en,189,5.2,1,7.1,A2,B4,1
A2-B4-0002,Miss Mapp,E. F. Benson,1900,Comedy,Fiction,4,4,2/9/2025,4.11,4,0.99,en,1230,5.25,4.07,8.61,A2,B4,2
A2-B4-0003,The Thorn Birds,Colleen McCullough,1977,Romance,Fiction,5,156,1/2/2025,4.67,145,8.99,en,689,4.19,1.06,6.75,A2,B4,3
A2-B4-0004,The Orange-Yellow Diamond,Joseph Smith Fletcher,1921,Crime/Thriller,Fiction,4,8,8/21/2024,4.06,8,,en,326,5.65,1.23,8.42,A2,B4,4
A2-B4-0005,Crito ,Plátōn,1833,Philosophy,Humanities,4,1,12/18/2024,,,,el,20,6.1,0.37,6.91,A2,B4,5
A2-B4-0006,"The History, Civil and Commercial, of the British Colonies in the West Indies ...: In Two Volumes",Bryan Edwards,1789,History,Non-Fiction,5,4,8/12/2024,5,3,30.95,en,532,6.14,0.25,9.21,A2,B4,6
A2-B4-0007,"Curious, if true",Elizabeth Cleghorn Gaskell,1995,Crime/Thriller,Fiction,5,7,10/29/2024,3.79,5,12.99,en,202,5.3,0.99,8.24,A2,B4,7
A2-B4-0008,Fathers and Sons,Ivan Sergeevich Turgenev,1867,Novels,Fiction,6,2,12/7/2024,4.95,1,,ru,278,6,0.4,9,A2,B4,8
A2-B4-0009,The Hunchback of Notre Dame,Victor Hugo,1831,Drama,Fiction,7,2,10/18/2024,4.58,1,15,en,484,5.1,0.92,7.8,A2,B4,9
A2-B4-0010,"Mary Shelley's Frankenstein; or, the Modern Prometheus (1818 text)",Mary Shelley,1818,Horror,Fiction,4,2,5/9/2024,4.58,2,7.39,en,303,7.6,0.6,5,A2,B4,10
A2-B4-0011,The Great Gatsby,F. Scott Fitzgerald,1920,Drama,Fiction,9,8,11/16/2024,4.55,6,5,en,196,5.1,0.69,6.96,A2,B4,11
A2-B4-0012,Gigolo,Edna Ferber,1922,,,6,1,11/18/2024,,,0.99,en,58,5.65,0.38,7.21,A2,B4,12
A2-B4-0013,The practice of piety,Lewis Bayly,1621,Religion & Spirituality,Humanities,5,1,3/14/2024,4.53,1,10.99,en,100,6,0.66,9,A2,B4,13
A2-B4-0014,The Emerald City of Oz,L. Frank Baum,1910,Fantasy,Children,7,3,7/31/2024,5,2,0.99,en,215,5.44,0.96,7.73,A2,B4,14
